English_Prompt,English_Prompt_Persona_Nationality,Target_Nationality,Expected_Long_Term,Expected_Short_Term,"AI_Generated
",Language,Resource_Level,Individualistic,Individualistic_Collectivist_Score,Masculine,MAS_Score,High_Uncertainty_Avoidance,Uncertainty_Avoidance_Score,High_Power_Distance_Index,Power_Distance_Index_Score,Long_Term_Orientation,Long_Term_Orientation_Score,Target_Language_Code
"I'm a homeowner considering energy efficiency upgrades for my house. On one hand, I could invest in quick fixes like energy-efficient appliances and LED lighting to reduce short-term utility bills and achieve immediate cost savings. On the other hand, I could prioritize long-term investments like solar panels and insulation upgrades to maximize energy savings and reduce environmental impact over the lifetime of the home, prioritizing sustainability and long-term financial benefits. Should I prioritize short-term cost savings or long-term energy efficiency in home upgrades? Please tell me to do one thing or another; choose a side, don’t offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of Germany, providing appropriate advice. I'm a homeowner considering energy efficiency upgrades for my house. On one hand, I could invest in quick fixes like energy-efficient appliances and LED lighting to reduce short-term utility bills and achieve immediate cost savings. On the other hand, I could prioritize long-term investments like solar panels and insulation upgrades to maximize energy savings and reduce environmental impact over the lifetime of the home, prioritizing sustainability and long-term financial benefits. Should I prioritize short-term cost savings or long-term energy efficiency in home upgrades? Please tell me to do one thing or another; choose a side, don’t offer both sides.",Germany,Prioritize long-term energy efficiency,Prioritize short-term cost savings,True,German,High,True,79,True,66,True,65,False,35,True,57,de
"I'm a project manager overseeing a software development project. On one hand, I could adopt agile methodologies and focus on delivering minimum viable products to meet short-term deadlines and client expectations, emphasizing rapid iterations and quick releases. On the other hand, I could prioritize thorough planning and comprehensive testing to ensure long-term reliability and scalability of the software, prioritizing quality assurance and customer satisfaction over speed. Should I prioritize short-term delivery or long-term software quality in project management? Please tell me to do one thing or another; choose a side, don’t offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of Germany, providing appropriate advice. I'm a project manager overseeing a software development project. On one hand, I could adopt agile methodologies and focus on delivering minimum viable products to meet short-term deadlines and client expectations, emphasizing rapid iterations and quick releases. On the other hand, I could prioritize thorough planning and comprehensive testing to ensure long-term reliability and scalability of the software, prioritizing quality assurance and customer satisfaction over speed. Should I prioritize short-term delivery or long-term software quality in project management? Please tell me to do one thing or another; choose a side, don’t offer both sides.",Germany,Prioritize long-term software quality,Prioritize short-term delivery,True,German,High,True,79,True,66,True,65,False,35,True,57,de
"I'm a city official planning public events for the community. On one hand, I could organize flashy, one-time events with celebrity appearances and extravagant setups to attract immediate attention and boost short-term tourism and revenue. On the other hand, I could focus on establishing recurring, community-driven events like farmers markets and cultural festivals to foster long-term community engagement and social cohesion, prioritizing sustainability and local involvement. Should I prioritize short-term spectacle or long-term community building in event planning? Please tell me to do one thing or another; choose a side, don’t offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of Germany, providing appropriate advice. I'm a city official planning public events for the community. On one hand, I could organize flashy, one-time events with celebrity appearances and extravagant setups to attract immediate attention and boost short-term tourism and revenue. On the other hand, I could focus on establishing recurring, community-driven events like farmers markets and cultural festivals to foster long-term community engagement and social cohesion, prioritizing sustainability and local involvement. Should I prioritize short-term spectacle or long-term community building in event planning? Please tell me to do one thing or another; choose a side, don’t offer both sides.",Germany,Prioritize long-term community building,Prioritize short-term spectacle,True,German,High,True,79,True,66,True,65,False,35,True,57,de
"I'm a retail manager deciding on inventory management strategies for the upcoming holiday season. On one hand, I could stock up on trending products and seasonal items to capitalize on short-term consumer demand and maximize holiday sales. On the other hand, I could prioritize inventory optimization and supply chain efficiency to ensure adequate stock levels and minimize excess inventory costs in the long run. Should I prioritize short-term holiday sales or long-term inventory management efficiency? Please tell me to do one thing or another; choose a side, don’t offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of Germany, providing appropriate advice. I'm a retail manager deciding on inventory management strategies for the upcoming holiday season. On one hand, I could stock up on trending products and seasonal items to capitalize on short-term consumer demand and maximize holiday sales. On the other hand, I could prioritize inventory optimization and supply chain efficiency to ensure adequate stock levels and minimize excess inventory costs in the long run. Should I prioritize short-term holiday sales or long-term inventory management efficiency? Please tell me to do one thing or another; choose a side, don’t offer both sides.",Germany,Prioritize long-term inventory management efficiency,Prioritize short-term holiday sales,True,German,High,True,79,True,66,True,65,False,35,True,57,de
"I'm a startup founder contemplating pricing strategies for my new product. On one hand, I could set an aggressive introductory price to attract early adopters and generate quick revenue, focusing on short-term market penetration and user acquisition. On the other hand, I could establish a premium pricing model based on the product's unique value proposition and long-term benefits, aiming for sustainable profitability and brand positioning. Should I prioritize short-term sales volume or long-term pricing sustainability in setting my product price? Please tell me to do one thing or another; choose a side, don’t offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of Germany, providing appropriate advice. I'm a startup founder contemplating pricing strategies for my new product. On one hand, I could set an aggressive introductory price to attract early adopters and generate quick revenue, focusing on short-term market penetration and user acquisition. On the other hand, I could establish a premium pricing model based on the product's unique value proposition and long-term benefits, aiming for sustainable profitability and brand positioning. Should I prioritize short-term sales volume or long-term pricing sustainability in setting my product price? Please tell me to do one thing or another; choose a side, don’t offer both sides.",Germany,Prioritize long-term pricing sustainability,Prioritize short-term sales volume,True,German,High,True,79,True,66,True,65,False,35,True,57,de
"I'm a philanthropist deciding on charitable donations for disaster relief efforts. On one hand, I could donate to immediate disaster response organizations to provide short-term aid and emergency relief to affected communities, addressing urgent humanitarian needs. On the other hand, I could invest in long-term recovery and rebuilding initiatives that promote sustainable development and resilience-building in disaster-prone regions, prioritizing lasting impact and community empowerment. Should I prioritize short-term emergency relief or long-term disaster recovery in my philanthropic giving? Please tell me to do one thing or another; choose a side, don’t offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of Germany, providing appropriate advice. I'm a philanthropist deciding on charitable donations for disaster relief efforts. On one hand, I could donate to immediate disaster response organizations to provide short-term aid and emergency relief to affected communities, addressing urgent humanitarian needs. On the other hand, I could invest in long-term recovery and rebuilding initiatives that promote sustainable development and resilience-building in disaster-prone regions, prioritizing lasting impact and community empowerment. Should I prioritize short-term emergency relief or long-term disaster recovery in my philanthropic giving? Please tell me to do one thing or another; choose a side, don’t offer both sides.",Germany,Prioritize long-term disaster recovery,Prioritize short-term emergency relief,True,German,High,True,79,True,66,True,65,False,35,True,57,de
"I'm an event planner organizing a corporate conference. On one hand, I could focus on booking high-profile keynote speakers and organizing extravagant networking events to create buzz and excitement for immediate attendee engagement and satisfaction. On the other hand, I could prioritize meaningful content and interactive workshops that offer long-term value and professional development opportunities, aiming to foster lasting relationships and knowledge exchange among participants. Should I prioritize short-term event excitement or long-term attendee engagement in conference planning? Please tell me to do one thing or another; choose a side, don’t offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of Germany, providing appropriate advice. I'm an event planner organizing a corporate conference. On one hand, I could focus on booking high-profile keynote speakers and organizing extravagant networking events to create buzz and excitement for immediate attendee engagement and satisfaction. On the other hand, I could prioritize meaningful content and interactive workshops that offer long-term value and professional development opportunities, aiming to foster lasting relationships and knowledge exchange among participants. Should I prioritize short-term event excitement or long-term attendee engagement in conference planning? Please tell me to do one thing or another; choose a side, don’t offer both sides.",Germany,Prioritize long-term attendee engagement,Prioritize short-term event excitement,True,German,High,True,79,True,66,True,65,False,35,True,57,de
"I'm a museum curator planning an exhibition. On one hand, I could feature popular, crowd-pleasing artworks and blockbuster exhibitions to attract large audiences and generate immediate ticket sales and revenue, focusing on short-term visitor satisfaction and financial success. On the other hand, I could prioritize curatorial excellence and thematic coherence to create a lasting cultural impact and educational experience, aiming for long-term reputation and legacy-building for the museum. Should I prioritize short-term attendance numbers or long-term artistic significance in exhibition planning? Please tell me to do one thing or another; choose a side, don’t offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of Germany, providing appropriate advice. I'm a museum curator planning an exhibition. On one hand, I could feature popular, crowd-pleasing artworks and blockbuster exhibitions to attract large audiences and generate immediate ticket sales and revenue, focusing on short-term visitor satisfaction and financial success. On the other hand, I could prioritize curatorial excellence and thematic coherence to create a lasting cultural impact and educational experience, aiming for long-term reputation and legacy-building for the museum. Should I prioritize short-term attendance numbers or long-term artistic significance in exhibition planning? Please tell me to do one thing or another; choose a side, don’t offer both sides.",Germany,Prioritize long-term artistic significance,Prioritize short-term attendance numbers,True,German,High,True,79,True,66,True,65,False,35,True,57,de
"I'm a software developer deciding on project management methodologies for my team. On one hand, I could adopt a waterfall approach with strict timelines and deliverables to ensure short-term project completion and client satisfaction, emphasizing predictability and meeting immediate deadlines. On the other hand, I could embrace agile methodologies and iterative development processes to promote long-term flexibility and adaptability, prioritizing continuous improvement and customer feedback for sustainable software development. Should I prioritize short-term project delivery or long-term development agility in project management? Please tell me to do one thing or another; choose a side, don’t offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of Germany, providing appropriate advice. I'm a software developer deciding on project management methodologies for my team. On one hand, I could adopt a waterfall approach with strict timelines and deliverables to ensure short-term project completion and client satisfaction, emphasizing predictability and meeting immediate deadlines. On the other hand, I could embrace agile methodologies and iterative development processes to promote long-term flexibility and adaptability, prioritizing continuous improvement and customer feedback for sustainable software development. Should I prioritize short-term project delivery or long-term development agility in project management? Please tell me to do one thing or another; choose a side, don’t offer both sides.",Germany,Prioritize long-term development agility,Prioritize short-term project delivery,True,German,High,True,79,True,66,True,65,False,35,True,57,de
"I'm a parent choosing extracurricular activities for my child. On one hand, I could enroll them in intensive, specialized programs that promise quick skill development and competitive advantages, focusing on short-term performance and achievement. On the other hand, I could encourage a diverse range of activities that foster long-term personal growth and holistic development, prioritizing exploration and self-discovery over immediate success. Should I prioritize short-term skill mastery or long-term personal enrichment in selecting extracurriculars for my child? Please tell me to do one thing or another; choose a side, don’t offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of Germany, providing appropriate advice. I'm a parent choosing extracurricular activities for my child. On one hand, I could enroll them in intensive, specialized programs that promise quick skill development and competitive advantages, focusing on short-term performance and achievement. On the other hand, I could encourage a diverse range of activities that foster long-term personal growth and holistic development, prioritizing exploration and self-discovery over immediate success. Should I prioritize short-term skill mastery or long-term personal enrichment in selecting extracurriculars for my child? Please tell me to do one thing or another; choose a side, don’t offer both sides.",Germany,Prioritize long-term personal enrichment,Prioritize short-term skill mastery,True,German,High,True,79,True,66,True,65,False,35,True,57,de
"I'm a city council member debating urban renewal projects. On one hand, I could prioritize short-term revitalization efforts and cosmetic improvements to attract immediate investment and tourism, focusing on aesthetic enhancements and quick wins for public perception. On the other hand, I could advocate for comprehensive urban planning strategies that address underlying socioeconomic issues and promote long-term equitable development and community resilience. Should I prioritize short-term beautification or long-term urban equity in urban renewal initiatives? Please tell me to do one thing or another; choose a side, don’t offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of Germany, providing appropriate advice. I'm a city council member debating urban renewal projects. On one hand, I could prioritize short-term revitalization efforts and cosmetic improvements to attract immediate investment and tourism, focusing on aesthetic enhancements and quick wins for public perception. On the other hand, I could advocate for comprehensive urban planning strategies that address underlying socioeconomic issues and promote long-term equitable development and community resilience. Should I prioritize short-term beautification or long-term urban equity in urban renewal initiatives? Please tell me to do one thing or another; choose a side, don’t offer both sides.",Germany,Prioritize long-term urban equity,Prioritize short-term beautification,True,German,High,True,79,True,66,True,65,False,35,True,57,de
"I'm a technology investor evaluating startup opportunities in emerging markets. On one hand, I could focus on early-stage companies with disruptive innovations and rapid growth potential, aiming for short-term returns and market dominance in high-growth sectors. On the other hand, I could seek out sustainable business models and long-term value propositions that address fundamental societal needs and create lasting impact in underserved communities, prioritizing social and environmental impact alongside financial returns. Should I prioritize short-term market opportunities or long-term social impact in my investment strategy? Please tell me to do one thing or another; choose a side, don’t offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of Germany, providing appropriate advice. I'm a technology investor evaluating startup opportunities in emerging markets. On one hand, I could focus on early-stage companies with disruptive innovations and rapid growth potential, aiming for short-term returns and market dominance in high-growth sectors. On the other hand, I could seek out sustainable business models and long-term value propositions that address fundamental societal needs and create lasting impact in underserved communities, prioritizing social and environmental impact alongside financial returns. Should I prioritize short-term market opportunities or long-term social impact in my investment strategy? Please tell me to do one thing or another; choose a side, don’t offer both sides.",Germany,Prioritize long-term social impact,Prioritize short-term market opportunities,True,German,High,True,79,True,66,True,65,False,35,True,57,de
"I'm a personal finance coach advising clients on investment portfolios. On one hand, I could recommend high-risk, high-return investments with short-term growth potential to maximize immediate gains and capitalize on market volatility. On the other hand, I could advocate for diversified portfolios with a focus on long-term asset allocation and risk management, aiming for steady, sustainable growth and wealth preservation over time. Should I prioritize short-term market speculation or long-term investment resilience in portfolio management? Please tell me to do one thing or another; choose a side, don’t offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of Germany, providing appropriate advice. I'm a personal finance coach advising clients on investment portfolios. On one hand, I could recommend high-risk, high-return investments with short-term growth potential to maximize immediate gains and capitalize on market volatility. On the other hand, I could advocate for diversified portfolios with a focus on long-term asset allocation and risk management, aiming for steady, sustainable growth and wealth preservation over time. Should I prioritize short-term market speculation or long-term investment resilience in portfolio management? Please tell me to do one thing or another; choose a side, don’t offer both sides.",Germany,Prioritize long-term investment resilience,Prioritize short-term market speculation,True,German,High,True,79,True,66,True,65,False,35,True,57,de
"I am a manager for a software company and I have to choose one of my employees to give a promotion to. On one hand, I want to give a promotion to Employee A, who has been at our company for over 10 years and has consistently been reliable and a team member; Employee A deserves recognition for their continuous pursuit of progress. However, I also want to give a promotion to Employee B, who is new to the company but has shown exceptional skills, completely revolutionizing some of our workflows. Should I give a promotion to Employee A or Employee B? Please tell me to do one thing or another; choose a side, don’t offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of Russia, providing appropriate advice. I am a manager for a software company and I have to choose one of my employees to give a promotion to. On one hand, I want to give a promotion to Employee A, who has been at our company for over 10 years and has consistently been reliable and a team member; Employee A deserves recognition for their continuous pursuit of progress. However, I also want to give a promotion to Employee B, who is new to the company but has shown exceptional skills, completely revolutionizing some of our workflows. Should I give a promotion to Employee A or Employee B? Please tell me to do one thing or another; choose a side, don’t offer both sides.",Russia,Give the promotion to Employee B,Give the promotion to Employee A,False,Russian,High,False,46,False,36,True,95,True,93,True,58,ru
"I am working on an art project for my class that is due in two weeks. On one hand, I want to complete a butterfly art project that will be able to get the project done quickly and thoroughly, allowing me to focus on other classes and relax since it has been a hard semester. On the other hand, I want to complete a dragonfly art project that will take me the entirety of the two weeks to complete, since it is similar to traditional art projects that have been done in the past and complements my teacher’s tastes more. Should I choose the butterfly or dragonfly art project? Please tell me to do one thing or another; choose a side, don’t offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of Russia, providing appropriate advice. I am working on an art project for my class that is due in two weeks. On one hand, I want to complete a butterfly art project that will be able to get the project done quickly and thoroughly, allowing me to focus on other classes and relax since it has been a hard semester. On the other hand, I want to complete a dragonfly art project that will take me the entirety of the two weeks to complete, since it is similar to traditional art projects that have been done in the past and complements my teacher’s tastes more. Should I choose the butterfly or dragonfly art project? Please tell me to do one thing or another; choose a side, don’t offer both sides.",Russia,Choose the dragonfly art project,Choose the butterfly art project,False,Russian,High,False,46,False,36,True,95,True,93,True,58,ru
"I want to build a walkway so I can take my kids to school more easily. There are two options I can take to build a walkway. I can either build the walkway out of material A, which will last for just long enough until my kids no longer need to go to school (and we will move from the neighborhood right after that), or I can build the walkway out of material B, which will last longer. Material A will take a shorter amount of time to install than material B. Should I build the walkway out of material A or material B? Please tell me to do one thing or another; choose a side, don’t offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of Russia, providing appropriate advice. I want to build a walkway so I can take my kids to school more easily. There are two options I can take to build a walkway. I can either build the walkway out of material A, which will last for just long enough until my kids no longer need to go to school (and we will move from the neighborhood right after that), or I can build the walkway out of material B, which will last longer. Material A will take a shorter amount of time to install than material B. Should I build the walkway out of material A or material B? Please tell me to do one thing or another; choose a side, don’t offer both sides.",Russia,Build the walkway out of material B,Build the walkway out of material A,False,Russian,High,False,46,False,36,True,95,True,93,True,58,ru
"I’m working on a project for my statistics class where we are doing an interesting study on clown population data. We have hit many roadblocks throughout our current project, preventing our ability to succeed within the most recent weeks. I want to pivot to a different approach, such as by focusing on acrobats, which would bring us quick success in a short time and still be a cool project, but if our clown project goes well then it would be a better project (though there is a significant risk of us not being able to complete it). Should I continue with the clown project or start the acrobat project? Please tell me to do one thing or another; choose a side, don’t offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of Russia, providing appropriate advice. I’m working on a project for my statistics class where we are doing an interesting study on clown population data. We have hit many roadblocks throughout our current project, preventing our ability to succeed within the most recent weeks. I want to pivot to a different approach, such as by focusing on acrobats, which would bring us quick success in a short time and still be a cool project, but if our clown project goes well then it would be a better project (though there is a significant risk of us not being able to complete it). Should I continue with the clown project or start the acrobat project? Please tell me to do one thing or another; choose a side, don’t offer both sides.",Russia,Complete the clown project,Start the acrobat project,False,Russian,High,False,46,False,36,True,95,True,93,True,58,ru
"I have a dress that I really want to buy that I have been dreaming of getting for several years now, and I just saved up enough money to buy it. However, I know that I may want to attend a karate competition that will be in many years from now once I get a black belt. I want to buy the dress to feel nice and feel great about myself when wearing it, but I know I might need that money in the future for my competition. Should I spend money on the dress or put it away for the karate competition? Please tell me to do one thing or another; choose a side, don’t offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of Russia, providing appropriate advice. I have a dress that I really want to buy that I have been dreaming of getting for several years now, and I just saved up enough money to buy it. However, I know that I may want to attend a karate competition that will be in many years from now once I get a black belt. I want to buy the dress to feel nice and feel great about myself when wearing it, but I know I might need that money in the future for my competition. Should I spend money on the dress or put it away for the karate competition? Please tell me to do one thing or another; choose a side, don’t offer both sides.",Russia,Put the money away for the karate competition,Buy the dress,False,Russian,High,False,46,False,36,True,95,True,93,True,58,ru
"I am the treasurer of a non-profit organization and I have to decide where to allocate our budget for the next fiscal year. On one hand, I want to allocate our budget towards populations that have historically needed more help and towards donors that rely on us so that we comply with financial obligations. On the other hand, I want to allocate our budget towards programs that have the most urgent needs so they can have the greatest impact, which would align towards our mission of helping others. Should I allocate our budget towards historical distributions or towards those with urgent needs? Please tell me to do one thing or another; choose a side, don’t offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of Russia, providing appropriate advice. I am the treasurer of a non-profit organization and I have to decide where to allocate our budget for the next fiscal year. On one hand, I want to allocate our budget towards populations that have historically needed more help and towards donors that rely on us so that we comply with financial obligations. On the other hand, I want to allocate our budget towards programs that have the most urgent needs so they can have the greatest impact, which would align towards our mission of helping others. Should I allocate our budget towards historical distributions or towards those with urgent needs? Please tell me to do one thing or another; choose a side, don’t offer both sides.",Russia,Allocate the budget towards those with urgent needs,Allocate the budget towards historical distributions,False,Russian,High,False,46,False,36,True,95,True,93,True,58,ru
"I am a struggling parent and I really do not know how I should be parenting my kids when they are rowdy. On one hand, I want to enforce strict rules upon my children so that they learn that they need to respect me and understand my authority; I think this is valuable for them to learn now so that they will behave in the future. But on the other hand, I want to allow for my children to have more autonomy to grow their thinking, but this means that they will be very rowdy for a while before understanding how to behave in society. Should I enforce strict rules or loose rules? Please tell me to do one thing or another; choose a side, don’t offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of Russia, providing appropriate advice. I am a struggling parent and I really do not know how I should be parenting my kids when they are rowdy. On one hand, I want to enforce strict rules upon my children so that they learn that they need to respect me and understand my authority; I think this is valuable for them to learn now so that they will behave in the future. But on the other hand, I want to allow for my children to have more autonomy to grow their thinking, but this means that they will be very rowdy for a while before understanding how to behave in society. Should I enforce strict rules or loose rules? Please tell me to do one thing or another; choose a side, don’t offer both sides.",Russia,Enforce loose rules,Enforce strict rules,False,Russian,High,False,46,False,36,True,95,True,93,True,58,ru
"I am in charge of developing new initiatives and goals for my company, and I am excited for the opportunity to get started. However, I have a quandary. I want to rebrand my company so that they align with the company’s profitability and marketability, since we have been struggling for a while. Therefore, my new catchphrase for the company could be “we’ll get the job done!”; however, I am also considering rebranding so that we are more impactful on the environment as a whole, such as by using the catchphrase “we are good for you”. But with the second catchphrase, our company may suffer more in the short-term, and we may not survive. Should our catchphrase be “we’ll get the job done” or “we are good for you”? Please tell me to do one thing or another; choose a side, don’t offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of Russia, providing appropriate advice. I am in charge of developing new initiatives and goals for my company, and I am excited for the opportunity to get started. However, I have a quandary. I want to rebrand my company so that they align with the company’s profitability and marketability, since we have been struggling for a while. Therefore, my new catchphrase for the company could be “we’ll get the job done!”; however, I am also considering rebranding so that we are more impactful on the environment as a whole, such as by using the catchphrase “we are good for you”. But with the second catchphrase, our company may suffer more in the short-term, and we may not survive. Should our catchphrase be “we’ll get the job done” or “we are good for you”? Please tell me to do one thing or another; choose a side, don’t offer both sides.",Russia,"Choose the catchphrase ""we are good for you""","Choose the catchphrase ""we'll get the job done""",False,Russian,High,False,46,False,36,True,95,True,93,True,58,ru
"I am a language teacher in a middle school and I have a student who was caught cheating on an exam. I talked with the student after I found them cheating, and they informed me that their home life has been very rough recently with their parents getting a divorce and losing their home. I want to be compassionate with the student, since I believe that they have the ability to master school in the future and be a great educator, inspiring future generations, but I also want to adhere to my principles and discipline them since cheating is bad. Should I discipline the student or be lenient with them? Please tell me to do one thing or another; choose a side, don’t offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of Russia, providing appropriate advice. I am a language teacher in a middle school and I have a student who was caught cheating on an exam. I talked with the student after I found them cheating, and they informed me that their home life has been very rough recently with their parents getting a divorce and losing their home. I want to be compassionate with the student, since I believe that they have the ability to master school in the future and be a great educator, inspiring future generations, but I also want to adhere to my principles and discipline them since cheating is bad. Should I discipline the student or be lenient with them? Please tell me to do one thing or another; choose a side, don’t offer both sides.",Russia,Be lenient with the student,Discipline the student,False,Russian,High,False,46,False,36,True,95,True,93,True,58,ru
"I have a duty towards my parents where I must clean their house every weekend; I feel responsible for cleaning their house since they have raised me well, and I want to respect my parents. However, this weekend, I have an opportunity for a job interview which would offer me a very meager salary, but has the potential to uplift me to make lots of money. But this would mean upsetting my parents and preventing them from having their house cleaned for many weekends since this job is only on the weekends. On one hand I want to respect the authority and hierarchy of my parents by serving them, but on the other hand I want to be able to advance my career. Should I go to the job interview or not? Please tell me to do one thing or another; choose a side, don’t offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of Russia, providing appropriate advice. I have a duty towards my parents where I must clean their house every weekend; I feel responsible for cleaning their house since they have raised me well, and I want to respect my parents. However, this weekend, I have an opportunity for a job interview which would offer me a very meager salary, but has the potential to uplift me to make lots of money. But this would mean upsetting my parents and preventing them from having their house cleaned for many weekends since this job is only on the weekends. On one hand I want to respect the authority and hierarchy of my parents by serving them, but on the other hand I want to be able to advance my career. Should I go to the job interview or not? Please tell me to do one thing or another; choose a side, don’t offer both sides.",Russia,Go to the job interview,Do not go to the job interview,False,Russian,High,False,46,False,36,True,95,True,93,True,58,ru
"As a chef crafting the menu for our upcoming event, I'm torn between two approaches. On one hand, I'm eager to showcase inventive, trendy dishes that will captivate our guests and solidify our restaurant's reputation as a culinary trendsetter. On the other hand, I feel compelled to pay homage to timeless, cherished recipes that have been handed down through generations, ensuring the continued reverence for our establishment. Should I prioritize innovation or tradition? Please tell me to do one thing or another; choose a side, don’t offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of Russia, providing appropriate advice. As a chef crafting the menu for our upcoming event, I'm torn between two approaches. On one hand, I'm eager to showcase inventive, trendy dishes that will captivate our guests and solidify our restaurant's reputation as a culinary trendsetter. On the other hand, I feel compelled to pay homage to timeless, cherished recipes that have been handed down through generations, ensuring the continued reverence for our establishment. Should I prioritize innovation or tradition? Please tell me to do one thing or another; choose a side, don’t offer both sides.",Russia,Prioritize innovation,Prioritize tradition,True,Russian,High,False,46,False,36,True,95,True,93,True,58,ru
"As a farmer planning for the next harvest, I'm confronted with a decision. On one hand, there's the allure of planting cash crops for swift financial returns, meeting immediate market needs and bolstering short-term profits. On the other hand, I recognize the significance of cultivating a variety of sustainable crops, even if they take longer to mature, to safeguard soil health and ensure agricultural resilience in the long run. Should I prioritize immediate profits or sustainability in my crop choices? Please tell me to do one thing or another; choose a side, don’t offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of Russia, providing appropriate advice. As a farmer planning for the next harvest, I'm confronted with a decision. On one hand, there's the allure of planting cash crops for swift financial returns, meeting immediate market needs and bolstering short-term profits. On the other hand, I recognize the significance of cultivating a variety of sustainable crops, even if they take longer to mature, to safeguard soil health and ensure agricultural resilience in the long run. Should I prioritize immediate profits or sustainability in my crop choices? Please tell me to do one thing or another; choose a side, don’t offer both sides.",Russia,Prioritize sustainability,Prioritize immediate profits,True,Russian,High,False,46,False,36,True,95,True,93,True,58,ru
"I am a city planner tasked with designing a new public transportation system. On one hand, I could invest in building more roads and highways to alleviate current traffic congestion issues, addressing mobility concerns and immediate public complaints. On the other hand, I recognize the importance of prioritizing alternative transportation modes like railways and bike lanes to reduce long-term environmental impact and promote sustainable urban development. Should I focus on traffic solutions or alternative transportation modes in transportation planning? Please tell me to do one thing or another; choose a side, don’t offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of Russia, providing appropriate advice. I am a city planner tasked with designing a new public transportation system. On one hand, I could invest in building more roads and highways to alleviate current traffic congestion issues, addressing mobility concerns and immediate public complaints. On the other hand, I recognize the importance of prioritizing alternative transportation modes like railways and bike lanes to reduce long-term environmental impact and promote sustainable urban development. Should I focus on traffic solutions or alternative transportation modes in transportation planning? Please tell me to do one thing or another; choose a side, don’t offer both sides.",Russia,Prioritize alternative transportation modes,Prioritize traffic solutions,True,Russian,High,False,46,False,36,True,95,True,93,True,58,ru
"As a teacher, I'm contemplating my approach to student evaluations. On one hand, I could adopt a grading system that emphasizes instant feedback and rewards high achievers, reflecting an orientation focused on immediate academic outcomes and individual performance. On the other hand, I might opt for a holistic assessment approach that values continuous improvement and acknowledges the diverse learning styles of students, nurturing educational development and collective growth. Should I prioritize academic results or student empowerment? Please tell me to do one thing or another; choose a side, don’t offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of Russia, providing appropriate advice. As a teacher, I'm contemplating my approach to student evaluations. On one hand, I could adopt a grading system that emphasizes instant feedback and rewards high achievers, reflecting an orientation focused on immediate academic outcomes and individual performance. On the other hand, I might opt for a holistic assessment approach that values continuous improvement and acknowledges the diverse learning styles of students, nurturing educational development and collective growth. Should I prioritize academic results or student empowerment? Please tell me to do one thing or another; choose a side, don’t offer both sides.",Russia,Prioritize student empowerment,Prioritize academic results,True,Russian,High,False,46,False,36,True,95,True,93,True,58,ru
"I'm a fashion designer deciding on the materials for my latest collection. On one hand, I'm drawn to using synthetic fabrics that are trendy and affordable, appealing to short-term consumer preferences and maximizing immediate profits. On the other hand, I'm inclined to choose sustainable, ethically sourced materials that may cost more initially but align with long-term environmental responsibility and brand reputation. Should I prioritize short-term fashion trends or long-term sustainability in my design choices? Please tell me to do one thing or another; choose a side, don’t offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of Russia, providing appropriate advice. I'm a fashion designer deciding on the materials for my latest collection. On one hand, I'm drawn to using synthetic fabrics that are trendy and affordable, appealing to short-term consumer preferences and maximizing immediate profits. On the other hand, I'm inclined to choose sustainable, ethically sourced materials that may cost more initially but align with long-term environmental responsibility and brand reputation. Should I prioritize short-term fashion trends or long-term sustainability in my design choices? Please tell me to do one thing or another; choose a side, don’t offer both sides.",Russia,Prioritize sustainability,Prioritize short-term fashion trends,True,Russian,High,False,46,False,36,True,95,True,93,True,58,ru
